3,治安保卫工作规划也是计划，但规划是具体的、短期的发展计划。,<p>A:正确</p><p>B:错误</p>,2,B,,1,1
1,下列治安保卫工作规划和计划说法不正确的是()。,"<p>A:治安保卫工作规划和计划同为对未来工作开展的一种设想性行为  </p><p>B:规划侧重于长远，计划侧重于短期  </p><p>C:治安保卫工作规划是比较全面的发展计划  </p><p>D:治安保卫工作计划就是治安保卫工作方案   </p>",4,D,,1,1
1,下列治安保卫工作规划和计划说法正确的是()。,"<p>A:治安保卫工作规划和计划同为对未来工作开展的一种设想性行为   </p><p>B:计划侧重于长远，规划侧重于短期   </p><p>C:治安保卫工作规划是比计划更具体的发展计划  </p><p>D:治安保卫工作计划就是治安保卫工作方案  </p>",4,A,,1,1
2,下列治安保卫工作规划和计划正确的说法是()。,"<p>A:治安保卫工作规划和计划同为对未来工作开展的一种设想性行为   </p><p>B:计划侧重于长远，规划侧重于短期   </p><p>C:治安保卫工作规划是比计划更具体的发展计划  </p><p>D:治安保卫工作计划就是治安保卫工作方案   </p><p>E:治安保卫工作计划是当前工作的归纳和总结 </p>",5,ABC,,1,1
3,治安保卫工作计划目标一般在三年以上，范围往往涉及全局的长远工作。,<p>A:正确</p><p>B:错误</p>,2,B,,1,1
1,关于治安保卫工作计划下列说法正确的是（）。,"<p>A:治安保卫工作计划要比规划宏观抽象   </p><p>B:是一种较主观的思考安排，事后拟定的工作内容和实施目的  </p><p>C:范围往往比规划涉及面广   </p><p>D:治安保卫工作开展都应“长有规划，短有计划” </p>",4,D,,1,1
1,关于治安保卫工作计划下列说法不正确的是（）。,"<p>A:治安保卫工作计划要比规划宏观抽象   </p><p>B:是一种较主观的思考安排，事后拟定的工作内容和实施目的  </p><p>C:范围往往比规划涉及面广   </p><p>D:治安保卫工作开展都应“长有规划，短有计划” </p>",4,A,,1,1
2,1关于治安保卫工作计划下列说法正确的是（）。,"<p>A:治安保卫工作计划要比规划宏观抽象   </p><p>B:是一种较主观的思考安排，事后拟定的工作内容和实施目的  </p><p>C:范围往往比规划涉及面广   </p><p>D:治安保卫工作开展都应“长有规划，短有计划”   </p><p>E:在时间上往往一年或半年左右</p>",5,BCDE,,1,1
3,治安保卫工作规划与计划制定要把握时效性、实效性、责任性和可操作性的要求。,<p>A:正确</p><p>B:错误</p>,2,A,,1,1
1,制定治安保卫工作规划与计划要求下列说法正确的是（）。,"<p>A:目标可有可无  </p><p>B:责任要淡化  </p><p>C:任务要宏观   </p><p>D:操作要可行     </p>",4,D,,1,1
1,制定治安保卫工作规划与计划要求下列说法错误的是（）。,"<p>A:阶段目标要实际 </p><p>B:岗位责任要落实  </p><p>C:工作任务要宏观  </p><p>D:运行操作要可行 </p>",4,C,,1,1
2,制定治安保卫工作规划与计划要求下列说法正确的是（）。,"<p>A:阶段目标要实际 </p><p>B:岗位责任要落实  </p><p>C:工作任务要宏观  </p><p>D:运行操作要可行 </p><p>E:时效性、实效性、责任性和可操作性相统一  </p>",5,ABCDE,,1,1
3,计划有许多不同种类，它们不仅有时间长短之分，而且有范围大小之别。,<p>A:正确</p><p>B:错误</p>,2,A,,1,1
1,治安保卫工作计划制定下列说法正确的是（）。,"<p>A:是对一定时期的治安保卫工作预先作出安排和打算  </p><p>B:根据不同种类，它们没有时间长短之分   </p><p>C:根据不同种类，它们没有范围大小之别  </p><p>D:核心内容是阐述“做什么”的客观原因     </p>",4,A,,1,1
1,治安保卫工作计划制定下列说法错误的是（）。,"<p>A:是对一定时期的治安保卫工作预先作出安排和打算  </p><p>B:根据不同种类，它们没有时间长短之分   </p><p>C:根据不同种类，它们没有范围大小之别  </p><p>D:核心内容是阐述“做什么”的客观原因     </p>",4,D,,1,1
